iter	RMSE
0	939167575
1	843727890.6
2	736196641.5
3	639432871.2
4	585945466.6
5	520001464.5
6	484299097.4
7	441654496.8
8	394600650.6
9	355475992.6
10	322168938.7
11	304534696.4
12	291500220.2
13	283831948.2
14	253146361.1
15	227338632.9
16	218004488.5
17	209137747.4
18	191466579.6
19	176575170.6
20	164025972.4
21	154677537.4
22	148867877.8
23	144859283.6
24	134809114.3
25	132312733
26	124033343.8
27	120874729.2
28	115154919.2
29	108758456.3
30	106894556.3
31	105499014.7
32	100951311.1
33	99639722.98
34	98751293.93
35	97413663.92
36	91429531.95
37	90347351.19
38	86392716.67
39	85795409.95
40	84225932.98
41	83079109.12
42	82197925.57
43	78382083.38
44	75938510.11
45	74396893.31
46	72435788.86
47	70804799.96
48	68930189.13
49	67642982.44
50	66420417.67
51	66221410.33
52	64916791.12
53	63781990.43
54	62745240.28
55	61215226.17
56	60356330.33
57	58150245.56
58	57015908.48
59	55884676.95
60	54804151.71
61	54629522.98
62	53993130.49
63	53736749.16
64	52550871.12
65	50911206.89
66	50006372.18
67	49256114.33
68	48124384.44
69	47627170.98
70	47081676.69
71	46408094.38
72	45510163.11
73	44828459.92
74	43631544.11
75	42420697.44
76	42056071.3
77	41310812.2
78	40995992.77
79	40307538.42
80	40018882.22
81	39471857.03
82	39012733.78
83	38448577.16
84	38137680.23
85	37762512.3
86	37618028.85
87	37177655.73
88	36747735.8
89	36465918.75
90	35866040.34
91	35389711.3
92	34884050.32
93	34467955.44
94	33864348.74
95	33258421.01
96	32919545.1
97	32484395.45
98	32007423.02
99	31604648.12
