협정(수입국가)별,2024.3/4,2024.2/4,2024.1/4,2023.4/4,2023.3/4,2023.2/4,2023.1/4,2022.4/4,2022.3/4,2022.2/4,2022.1/4,2021.4/4,2021.3/4,2021.2/4,2021.1/4,2020.4/4,2020.3/4,2020.2/4,2020.1/4,2019.2/2,2019.1/2,2018.2/2,2018.1/2,2017.2/2,2017.1/2,2016.2/2,2016.1/2
칠레,99.2,99.1,98.6,97.2,97.0,96.1,98.2,98.6,98.6,98.3,99.1,99.3,99.3,99.3,99.5,99.1,99.1,99.5,99.6,99.2,99.6,98.4,98.6,99.5,99.4,99.3,99.5
EFTA,80.7,78.1,75.2,82.7,80.2,79.8,82.6,75.7,75.6,75.8,68.6,69.6,66.2,69.3,64.9,76.9,78.1,73.9,71.9,64.0,62.3,63.7,60.3,60.0,60.8,56.8,52.4
아세안,78.2,77.3,74.9,74.3,75.4,76.5,80.4,84.4,83.2,82.3,81.6,82.7,79.5,78.9,76.5,81.5,78.3,74.8,69.8,79.2,75.8,74.9,69.1,77.7,62.8,78.4,70.9
인도,77.2,78.0,77.6,76.1,76.0,75.6,75.7,55.2,54.2,48.0,54.4,54.0,53.7,54.9,55.2,55.6,52.6,49.4,48.8,56.6,55.4,57.3,62.4,61.5,60.0,56.0,60.5
EU,82.4,82.3,81.1,81.4,81.0,81.2,80.4,79.4,80.0,78.2,77.1,78.3,78.3,78.0,77.1,80.0,78.9,79.4,78.3,76.6,74.8,76.4,75.3,76.3,74.5,72.1,69.8
페루,97.9,97.8,98.2,94.7,94.2,98.8,97.8,82.4,80.3,68.5,80.0,59.3,54.2,52.5,38.4,89.3,79.6,61.3,51.5,81.4,78.4,87.9,45.4,82.1,58.8,77.5,53.6
미국,89.3,88.1,85.3,72.5,68.6,69.4,64.2,70.1,68.4,68.8,61.5,73.6,71.4,70.7,66.9,76.7,71.7,68.2,57.9,68.1,60.3,70.2,66.7,70.6,69.7,70.7,68.6
튀르키예,64.2,63.4,59.6,65.7,66.5,67.3,63.1,67.9,69.3,69.8,65.8,73.0,73.4,74.2,73.5,67.2,67.8,69.6,71.5,68.9,65.4,66.5,64.4,63.4,66.6,65.9,67.4
호주,85.0,84.2,90.5,85.1,87.8,85.7,84.0,85.7,80.6,81.6,84.2,86.1,77.2,79.2,79.1,88.4,84.2,84.4,81.4,85.7,84.4,79.1,78.8,85.0,61.9,79.2,69.3
캐나다,75.3,82.7,82.0,66.7,70.2,75.4,80.6,62.0,57.3,59.8,54.7,66.3,69.7,69.9,70.1,80.1,80.3,83.1,81.2,77.9,78.7,80.6,80.9,83.6,81.7,75.1,75.5
중국,91.5,91.4,90.2,90.7,90.0,89.5,88.2,88.5,87.9,87.5,86.8,87.0,86.0,85.9,84.4,85.1,84.9,84.2,82.4,80.1,78.7,74.9,68.3,68.5,65.7,80.7,79.0
뉴질랜드,87.7,77.4,78.1,89.3,93.4,96.6,96.7,94.8,93.6,92.6,88.5,93.5,93.9,95.4,95.3,92.7,94.4,94.4,94.5,93.7,93.8,89.9,89.8,86.5,84.6,79.0,72.6
베트남,85.3,83.9,83.7,87.7,86.6,84.5,81.5,86.9,86.0,85.4,85.4,86.6,85.5,85.8,84.2,89.1,88.6,86.7,84.4,85.7,81.7,90.0,87.1,86.6,85.2,78.0,76.7
콜롬비아,96.4,96.1,97.1,98.0,98.1,86.8,87.3,93.0,76.0,72.4,77.5,94.2,94.9,95.2,89.7,89.3,83.9,77.6,65.0,88.9,85.7,90.3,87.5,87.2,88.8,67.0,71.0
중미,76.3,78.5,53.1,65.2,71.9,74.6,73.9,63.9,53.9,43.8,48.7,67.3,65.3,65.6,53.1,74.4,90.9,71.7,75.7,85.9,76.7,75.3,66.2,71.8,66.1,68.6,70.3
영국,81.7,81.3,82.8,75.7,89.9,73.6,83.8,67.9,81.4,82.8,79.3,84.9,79.8,83.7,71.1,88.0,69.1,66.5,81.3,84.3,66.2,90.3,63.3,67.7,69.3,63.2,67.8
RCEP(일본),38.8,38.0,35.2,37.0,84.4,93.5,83.7,81.1,81.1,66.4,80.9,86.5,85.9,84.3,67.9,91.4,76.7,72.4,81.6,82.1,74.9,87.1,68.0,68.1,82.0,82.8,68.6
이스라엘,71.7,68.2,63.2,57.4,75.8,84.8,78.2,84.7,78.6,78.1,74.7,82.0,65.9,87.1,84.3,77.9,91.7,68.4,65.5,73.8,84.8,69.8,75.6,70.4,70.8,77.7,64.8
캄보디아,52.5,45.8,51.0,28.2,91.7,84.7,90.3,90.0,82.3,66.5,79.8,69.1,79.9,69.3,76.4,84.4,87.0,74.3,82.9,74.9,87.6,74.4,73.0,68.1,72.2,62.3,75.7
인도네시아,57.5,55.4,55.8,37.0,85.1,71.9,78.4,80.1,79.6,79.5,80.7,68.9,78.2,74.2,82.2,70.5,89.8,82.5,72.2,86.2,79.4,67.7,82.9,89.0,77.0,65.3,63.2
